,subject_id,task,condition,target,response,PROLIFIC_PID
132,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
133,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
134,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
135,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
136,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
137,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
138,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
139,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
140,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
141,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
142,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
143,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
144,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
145,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
146,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
147,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
148,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
149,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
150,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
151,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
152,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
153,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
154,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
155,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
156,43,TMaze,"[75,75]",R,j,5fd8a13aaf5bd723a0e0e3fa
157,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
158,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
159,43,TMaze,"[60,90.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
160,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
161,43,TMaze,"[75,75]",R,f,5fd8a13aaf5bd723a0e0e3fa
162,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
163,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
164,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
165,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
166,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
167,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
168,43,TMaze,"[60,90.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
169,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
170,43,TMaze,"[45.00000000000001,105.00000000000001]",R,j,5fd8a13aaf5bd723a0e0e3fa
171,43,TMaze,"[45.00000000000001,105.00000000000001]",L,f,5fd8a13aaf5bd723a0e0e3fa
172,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
173,43,TMaze,"[75,75]",L,j,5fd8a13aaf5bd723a0e0e3fa
174,43,TMaze,"[75,75]",L,f,5fd8a13aaf5bd723a0e0e3fa
182,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,1,5fd8a13aaf5bd723a0e0e3fa
183,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
184,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,1,5fd8a13aaf5bd723a0e0e3fa
185,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
186,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
187,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,4,5fd8a13aaf5bd723a0e0e3fa
188,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
189,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
190,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
191,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,3,5fd8a13aaf5bd723a0e0e3fa
192,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,1,5fd8a13aaf5bd723a0e0e3fa
193,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,1,5fd8a13aaf5bd723a0e0e3fa
194,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
195,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
196,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,1,5fd8a13aaf5bd723a0e0e3fa
197,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
198,43,V1,"[60,90.00000000000001,75,105.00000000000001]",3,2,5fd8a13aaf5bd723a0e0e3fa
199,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,2,5fd8a13aaf5bd723a0e0e3fa
200,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,1,5fd8a13aaf5bd723a0e0e3fa
201,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,1,5fd8a13aaf5bd723a0e0e3fa
202,43,V1,"[60,90.00000000000001,75,105.00000000000001]",2,3,5fd8a13aaf5bd723a0e0e3fa
203,43,V1,"[60,90.00000000000001,75,105.00000000000001]",1,4,5fd8a13aaf5bd723a0e0e3fa
204,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,2,5fd8a13aaf5bd723a0e0e3fa
205,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,1,5fd8a13aaf5bd723a0e0e3fa
206,43,V1,"[60,90.00000000000001,75,105.00000000000001]",0,4,5fd8a13aaf5bd723a0e0e3fa
